log (T) 	Δlog (T) 	log {log (v + 0.8)}	Δlog {log (v + 0.8)}
2.480	0.003	-0.23	0
2.494	0.003	-0.36	0.001
2.512	0.003	-0.562	0.003
2.520	0.003	-0.652	0.004
2.535	0.003	-0.86	0.007
2.553	0.003	-1.135	0.015
